HHA CCN,HHA Brand Name,HHA ID Owner,HHA Name Owner,HHA DBA Owner,HHA NPI,HHA ID,HHA Name,HHA DBA,HHA Address,HHA City,HHA Zip,HHA Fips,HHA County,HHA State,HHA State Cd,HHA CBSA,HHA Rating,HHA Auth Person,HHA Auth Person Desgn,HHA Auth Person Tele
368278,,,,,1275710113,1557434008,"HOME HEALTH BY WINDSOR, LLC",WINDSOR HOME HEALTH,18 EAST LIBERTY STREET,GIRARD,44420,39155,TRUMBULL,Ohio,OH,"Youngstown-Warren, OH",3.5,PATRICK CASSIDY,ADMINISTRATOR,440-796-9516
109360,,9133536907,PC HEALTH HOLDINGS INC,,1750554200,0143385617,"DEDICATED CAREGIVERS, LLC",PERFECT CARE HOME HEALTH AGENCY,3350 SW 148TH AVE STE 110 OFF 128,MIRAMAR,33027,12011,BROWARD,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",1.5,MIRENA MONZON,ADMINISTRATOR,954-358-0992
109540,,,,,1851567614,2961563614,MY ANGELS HOME HEALTH AGENCY INC,,7225 NW 25TH ST STE 306,MIAMI,33122,12086,MIAMI-DADE,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",-,OLGA GONZALEZ,PRESIDENT,305-883-3144
747783,,,,,1174890420,4183886146,"NURSEX HOME HEALTH SERVICES, LLC",,"5000 HANOVER DR, STE 200",ODESSA,79761,48135,ECTOR,Texas,TX,"Odessa, TX",4,ANGELIA AWBREY,ADMINISTRATOR,432-550-0268
757492,,,,,1487327052,5890154439,SPIRIT HOME HEALTH,,425 S FAIRFAX AVE SUITE 206,LOS ANGELES,90036,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",-,ARCHIL BIDZHOIAN,CEO,323-819-8648
757378,,,,,1528655735,5597132811,WELL CENTER HOME HEALTH,,401 N BRAND BLVD SUITE 635B,GLENDALE,91203,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",5,GEVORG ZOHRABYAN,PRESIDENT/CEO,323-640-0001
557774,,,,,1619944089,4082689500,"IDEAL HOME CARE, INC.",,2117 FOOTHILL BLVD SUITE J,LA VERNE,91750,06037,LOS ANGELES,California,CA,"Los Angeles-Long Beach-Anaheim, CA",-,NENITA VITUG,ADMINISTRATOR,626-966-7677
687072,,,,,1265017693,2264863042,AFFINITY HOME HEALTHCARE LLC,,2240 W WOOLBRIGHT RD STE 211,BOYNTON BEACH,33426,12099,PALM BEACH,Florida,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",-,RANON ALTMAN,VICE PRESIDENT,954-782-3741
367061,LHC Group,749192441,UNITEDHEALTH GROUP INCORPORATED,OPTUM HEALTH INC,1750675054,1658543913,"YOUNGSTOWN HOME CARE SERVICES, LLC","OHIO'S CHOICE HOME HEALTH","5121 MAHONING AVENUE, SUITE 104",AUSTINTOWN,44515,39099,MAHONING,Ohio,OH,"Youngstown-Warren, OH",4,JOSHUA PROFFITT,PRESIDENT,337-233-1307
747494,,,,,1669617288,8426183229,"EXCELLENT HEALTHCARE SERVICES,INC",EXCELLENT HOME HEALTH SERVICES,1144 WEST PIONEER PKWY UNIT H PIONEER PLZ,ARLINGTON,76013,48439,TARRANT,Texas,TX,"Dallas-Fort Worth-Arlington, TX",-,BEATRICE JOHNSON,PRESIDENT,817-962-0290
077079,,,,,1508872151,8527000108,"VISITING NURSES OF THE LOWER VALLEY, INC.",,61 MAIN ST,CENTERBROOK,06409,,,,,,2.5,SUSAN MAXWELL,EXECUTIVE DIRECTOR,860-767-0186
070007,,,,,1073530879,5991792053,LAWRENCE AND MEMORIAL HOSPITAL INC.,,365 MONTAUK AVE,NEW LONDON,06320,09011,NEW LONDON,Connecticut,CT,Non Metropolitan,3,JACQUELINE WRINN,DIR. INTEGRATED RECEIVABLES MGMT.,203-688-8411
